GEOID,NAME,incomeE,incomeM,povE,povM,povdenE,povdenM,pov_rate,pov_moe
29115,"Linn County, Missouri",61635,5399,1604,360,11678,21,0.13735228635040247,0.030826206936425248
29103,"Knox County, Missouri",57788,9515,433,131,3640,44,0.11895604395604395,0.035960273479247754
29135,"Moniteau County, Missouri",65715,3289,1441,325,14006,69,0.1028844780808225,0.02319880466335193
29181,"Ripley County, Missouri",42037,5005,2624,499,10586,50,0.2478745512941621,0.047123187601420854
29149,"Oregon County, Missouri",43069,6603,1982,390,8401,111,0.23592429472681822,0.04631827026177752
29005,"Atchison County, Missouri",58750,8393,591,139,5087,23,0.11617849420090427,0.02731950337022203
29229,"Wright County, Missouri",47909,4190,3493,688,18631,91,0.1874832268799313,0.03691634528910908
29059,"Dallas County, Missouri",53464,7438,3533,707,17241,96,0.20491850820718055,0.04099102483686863
29155,"Pemiscot County, Missouri",40089,4225,4366,539,14749,9,0.296020069157231,0.03654440407319573
29186,"Ste. Genevieve County, Missouri",66339,7127,1472,351,18060,58,0.08150609080841639,0.01943345315532257
29510,"St. Louis city, Missouri",56160,1305,57765,2929,279870,319,0.20639939972129917,0.010462928778670043
29141,"Morgan County, Missouri",53412,5051,3905,541,21313,60,0.18322150799981232,0.02537832754207507
29047,"Clay County, Missouri",88468,2010,21591,2256,255005,271,0.08466892806023411,0.008846427761370042
29225,"Webster County, Missouri",71155,2974,5953,1025,39054,250,0.15242996876120243,0.026227566295177137
29075,"Gentry County, Missouri",55848,4994,1090,204,6104,37,0.17857142857142858,0.03340317431238007
29043,"Christian County, Missouri",83437,2702,7526,1405,92072,138,0.08174037709618559,0.015259304862712438
29003,"Andrew County, Missouri",75625,4530,1100,269,17757,116,0.06194740102494791,0.015143549195329006
29219,"Warren County, Missouri",81209,5304,2941,550,36695,150,0.08014715901348958,0.014984836984789555
29053,"Cooper County, Missouri",70625,4864,1815,349,15534,51,0.11684047894940132,0.0224635718513098
29093,"Iron County, Missouri",48850,4711,1753,327,9099,55,0.1926585339048247,0.03591914201094541
29137,"Monroe County, Missouri",54516,6305,1216,342,8574,24,0.14182411943083742,0.039886058013433985
29107,"Lafayette County, Missouri",80612,6979,3031,547,32639,57,0.09286436471705628,0.01675830718350151
29001,"Adair County, Missouri",61536,4691,5155,551,23424,55,0.22007342896174864,0.02351720614819697
29035,"Carter County, Missouri",50000,8926,1091,291,5252,12,0.20773038842345773,0.055405430891438186
29127,"Marion County, Missouri",62903,2753,3907,626,27490,109,0.1421244088759549,0.0227649431276534
29211,"Sullivan County, Missouri",56964,4179,781,199,5713,24,0.13670575879572905,0.03482810284260254
29177,"Ray County, Missouri",74573,5326,2877,524,22912,27,0.12556738826815642,0.0228696330339541
29045,"Clark County, Missouri",51781,3325,731,159,6527,23,0.11199632296614065,0.024357152256888327
29227,"Worth County, Missouri",47847,10123,390,112,1897,12,0.20558777016341592,0.059026265414016864
29025,"Caldwell County, Missouri",64806,4272,897,167,8677,38,0.10337674311397949,0.0192409578203029
29221,"Washington County, Missouri",56043,6053,3911,685,22505,25,0.17378360364363474,0.030437068302651683
29161,"Phelps County, Missouri",58396,3528,7070,812,42143,80,0.16776214317917568,0.01926509929454769
29007,"Audrain County, Missouri",59448,5227,4154,597,23299,79,0.1782909137731233,0.025616284983807282
